종목코드,자본총계(원),총주식수
290740,73200000000.0,9571470
039010,106800000000.0,7769000
035610,212600000000.0,27345997
001750,581800000000.0,12728534
005960,561200000000.0,22974525
307950,1847100000000.0,27423982
267250,10116400000000.0,70668430
030200,17655700000000.0,240145151
001360,121000000000.0,94120296
032850,73700000000.0,15101114
017370,166600000000.0,15201781
097230,669600000000.0,90289403
136540,184800000000.0,10683798
094970,144500000000.0,16712134
309960,127000000000.0,22995443
059210,124300000000.0,27171445
042420,350300000000.0,6165190
457370,59300000000.0,7858920
002810,607300000000.0,17922858
251120,69800000000.0,8528949
237690,593400000000.0,20847927
