종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
212560,네오오토,KOSDAQ,11.38,0.0,8690,12730,12150,0,0,46.49
175330,JB금융지주,KOSPI,12.36,12.03,26050,37870,34640,36860,34170,45.37
093520,매커스,KOSDAQ,19.3,18.29,26000,37790,28370,35810,27460,45.35
234080,JW생명과학,KOSPI,13.59,11.87,12880,18600,16240,16240,15160,44.41
064820,케이프,KOSDAQ,23.12,0.0,15180,21690,15240,0,0,42.89
318160,셀바이오휴먼텍,KOSDAQ,16.91,0.0,7720,11020,8730,0,0,42.75
083930,아바코,KOSDAQ,13.62,0.0,14990,21090,18400,0,0,40.69
297890,HB솔루션,KOSDAQ,11.34,0.0,2615,3670,3500,0,0,40.34
453340,현대그린푸드,KOSPI,12.46,13.63,19300,27060,24650,29600,25820,40.21
035150,백산,KOSPI,13.22,0.0,11770,16400,14510,0,0,39.34
111770,영원무역,KOSPI,12.66,13.0,84500,116940,105690,120080,107130,38.39
260970,에스앤디,KOSDAQ,26.71,0.0,56400,76460,51220,0,0,35.57
044820,코스맥스비티아이,KOSPI,11.08,0.0,22650,30690,29690,0,0,35.5
097520,엠씨넥스,KOSPI,13.61,12.75,23000,31110,27150,29140,26250,35.26
129890,앱코,KOSDAQ,10.8,0.0,1047,1410,1390,0,0,34.67
383220,F&F,KOSPI,23.16,18.34,83100,111510,78300,88310,67650,34.19
173130,오파스넷,KOSDAQ,21.36,0.0,7590,10180,7360,0,0,34.12
039830,오로라,KOSDAQ,13.37,0.0,17390,23230,20450,0,0,33.58
136540,윈스테크넷,KOSDAQ,10.18,0.0,12750,16920,17120,0,0,32.71
004140,동방,KOSPI,10.36,0.0,2770,3660,3670,0,0,32.13
020180,대신정보통신,KOSDAQ,15.66,0.0,1160,1520,1250,0,0,31.03
114840,아이패밀리에스씨,KOSDAQ,22.28,0.0,10110,13130,9350,0,0,29.87
194700,노바렉스,KOSDAQ,14.99,0.0,15860,20530,17130,0,0,29.45
012030,DB,KOSPI,11.67,0.0,2040,2640,2480,0,0,29.41
