종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
319660,피에스케이,KOSDAQ,15.54,538900000000.0,28966714,27800,22820
036030,케이티알파,KOSDAQ,15.47,303100000000.0,49019141,9200,7570
472850,폰드그룹,KOSDAQ,15.46,234400000000.0,57563696,6050,4980
015360,INVENI,KOSPI,15.46,645400000000.0,22195000,43230,35570
003650,미창석유,KOSPI,15.44,479400000000.0,1512979,470410,387310
068930,디지털대성,KOSDAQ,15.41,138300000000.0,25575628,8010,6600
041190,우리기술투자,KOSDAQ,15.33,776400000000.0,77871156,14700,12140
214430,아이쓰리시스템,KOSDAQ,15.31,139700000000.0,7307215,28140,23260
105550,엣지파운드리,KOSDAQ,15.29,128400000000.0,71663306,2630,2180
194370,제이에스코퍼레이션,KOSPI,15.29,527400000000.0,29016758,26720,22100
064850,에프앤가이드,KOSDAQ,15.15,68900000000.0,11410332,8800,7300
096240,크레버스,KOSDAQ,15.15,47000000000.0,8435607,8120,6740
017510,세명전기,KOSDAQ,15.13,90100000000.0,15246000,8600,7140
445180,퓨릿,KOSDAQ,15.1,107500000000.0,17189188,9080,7550
327260,RF머트리얼즈,KOSDAQ,15.05,52800000000.0,8493704,9000,7490
290120,DH오토리드,KOSDAQ,15.03,99300000000.0,15824249,9070,7560
007340,DN오토모티브,KOSPI,15.02,2007300000000.0,51762270,56010,46680
033250,체시스,KOSPI,15.0,45400000000.0,6400000,10230,8530
458350,에스팀,KOSDAQ,14.99,15400000000.0,8683200,2560,2130
194700,노바렉스,KOSDAQ,14.99,253100000000.0,17754848,20550,17140
080470,성창오토텍,KOSDAQ,14.99,60400000000.0,7300000,11930,9950
016670,디모아,KOSDAQ,14.99,86100000000.0,10187750,12180,10160
092730,네오팜,KOSDAQ,14.95,195400000000.0,15641256,17960,15000
039420,케이엘넷,KOSDAQ,14.85,66000000000.0,20246557,4650,3900
071320,지역난방공사,KOSPI,14.84,2301400000000.0,11578744,283620,237690
190510,나무가,KOSDAQ,14.83,171700000000.0,14085317,17380,14570
264660,씨앤지하이테크,KOSDAQ,14.81,143200000000.0,9419458,21650,18160
448710,코츠테크놀로지,KOSDAQ,14.8,53800000000.0,4557542,16800,14100
032190,다우데이타,KOSDAQ,14.76,1610400000000.0,38300000,59670,50130
030720,동원수산,KOSPI,14.73,56400000000.0,4653805,17160,14430
134380,미원화학,KOSPI,14.72,173600000000.0,19387530,12670,10660
161890,한국콜마,KOSPI,14.69,910400000000.0,23605077,54480,45870
482630,삼양엔씨켐,KOSDAQ,14.69,119300000000.0,21888280,7700,6480
053800,안랩,KOSDAQ,14.68,373500000000.0,8988347,58650,49400
010120,LS ELECTRIC,KOSPI,14.67,2069800000000.0,148785350,19620,16530
071200,인피니트헬스케어,KOSDAQ,14.66,191700000000.0,24376453,11090,9340
053610,프로텍,KOSDAQ,14.59,348600000000.0,7000000,69860,59010
