종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,예상ROE(%),적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),할인율(%)
402490,그린리소스,KOSDAQ,15.86,69900000000.0,16693064,0.0,6380,5190,0,0,10.41
095610,테스,KOSDAQ,15.76,391800000000.0,17734126,21.74,33450,27310,46140,33130,10.41
012280,영화금속,KOSPI,15.74,81500000000.0,46454505,0.0,2650,2170,0,0,10.41
198080,캐프,KOSDAQ,15.73,131600000000.0,21535185,0.0,9230,7540,0,0,10.41
303360,프로티아,KOSDAQ,15.72,30700000000.0,12879715,0.0,3600,2940,0,0,10.41
332370,아이디피,KOSDAQ,15.7,69000000000.0,11921444,0.0,8730,7140,0,0,10.41
020180,대신정보통신,KOSDAQ,15.66,38900000000.0,38428915,0.0,1520,1250,0,0,10.41
282330,BGF리테일,KOSPI,15.64,1313100000000.0,17275015,15.58,114200,93540,113760,93340,10.41
041930,SY동아,KOSDAQ,15.64,186800000000.0,14585633,0.0,19240,15760,0,0,10.41
473980,노머스,KOSDAQ,15.64,103700000000.0,11057322,0.0,14090,11540,0,0,10.41
053060,세동,KOSDAQ,15.6,40300000000.0,17656882,0.0,3420,2800,0,0,10.41
319660,피에스케이,KOSDAQ,15.54,538900000000.0,28966714,19.99,27770,22810,35720,26460,10.41
036030,케이티알파,KOSDAQ,15.47,303100000000.0,49019141,0.0,9190,7560,0,0,10.41
472850,폰드그룹,KOSDAQ,15.46,234400000000.0,57563696,0.0,6050,4980,0,0,10.41
015360,INVENI,KOSPI,15.46,645400000000.0,22195000,0.0,43180,35550,0,0,10.41
003650,미창석유,KOSPI,15.44,479400000000.0,1512979,0.0,469960,387140,0,0,10.41
068930,디지털대성,KOSDAQ,15.41,138300000000.0,25575628,18.82,8000,6600,9780,7410,10.41
041190,우리기술투자,KOSDAQ,15.33,776400000000.0,77871156,0.0,14680,12130,0,0,10.41
214430,아이쓰리시스템,KOSDAQ,15.31,139700000000.0,7307215,0.0,28120,23250,0,0,10.41
105550,엣지파운드리,KOSDAQ,15.29,128400000000.0,71663306,0.0,2630,2180,0,0,10.41
